First name,Last name,Gender,Email,Salary,Department,Position,Job title,Company
Drusilla,Unknown,Female,drusilla@sunnydalehs.edu,58000.00,Drama,Middle,Acting Instructor,Sunnydale High School
Ethan,Rayne,Male,ethan.rayne@sunnydalehs.edu,53000.00,Magic & Computation,Middle,Chaos Theory Lecturer,Sunnydale High School
Kennedy,Unknown,Female,kennedy@sunnydalehs.edu,48000.00,Slayer Studies,Junior,Slayer-in-Training Coach,Sunnydale High School
Gwen,Raiden,Female,gwen.raiden@sunnydalehs.edu,60000.00,IT Support,Senior,Systems Security Engineer,Sunnydale High School
Lorne,Green,Male,lorne.green@sunnydalehs.edu,55000.00,Music,Senior,Vocal Performance Mentor,Sunnydale High School
Fred,Burkle,Female,fred.burkle@sunnydalehs.edu,62000.00,Science,Senior,Physics Teacher,Sunnydale High School
Illyria,Ancient,Female,illyria@sunnydalehs.edu,75000.00,History,Senior,Ancient Civilizations Lecturer,Sunnydale High School
Darla,Unknown,Female,darla@sunnydalehs.edu,52000.00,Guidance,Middle,Student Advisor,Sunnydale High School
Gunn,Charles,Male,charles.gunn@sunnydalehs.edu,58000.00,Security,Middle,Campus Security Officer,Sunnydale High School
Lilah,Morgan,Female,lilah.morgan@sunnydalehs.edu,65000.00,Legal,Senior,School Legal Advisor,Sunnydale High School
Robin,Wood,Male,robin.wood@sunnydalehs.edu,73000.00,Senior Management,DeputyPrincipal,Vice Principal,Sunnydale High School
Veronica,Devereaux,Female,veronica.devereaux@sunnydalehs.edu,43000.00,English,Junior,English Teacher,Sunnydale High School
Chloe,Montgomery,Female,chloe.montgomery@sunnydalehs.edu,42000.00,English,Junior,English Teacher,Sunnydale High School
Pike,Unknown,Male,pike@sunnydalehs.edu,48000.00,Mechanics,Middle,Workshop Instructor,Sunnydale High School
Kenneth,Samuelson,Male,kenneth.samuelson@sunnydalehs.edu,45000.00,Canteen,Junior,Canteen Supervisor,Sunnydale High School
Rosalie,Blackwell,Female,rosalie.blackwell@sunnydalehs.edu,44000.00,Library,Junior,Library Assistant,Sunnydale High School
Misty,Daniels,Female,misty.daniels@sunnydalehs.edu,46000.00,Geography,Middle,Geography Teacher,Sunnydale High School
Diego,Morales,Male,diego.morales@sunnydalehs.edu,47000.00,Modern Languages,Middle,Spanish Teacher,Sunnydale High School
Helena,Sato,Female,helena.sato@sunnydalehs.edu,46800.00,Modern Languages,Middle,Japanese Teacher,Sunnydale High School
Phoebe,Montclair,Female,phoebe.montclair@sunnydalehs.edu,45200.00,Art,Junior,Art Teacher,Sunnydale High School
Zachary,Stone,Male,zachary.stone@sunnydalehs.edu,48000.00,Computer Science,Middle,Cybersecurity Instructor,Sunnydale High School
Mariah,Carey,Female,mariah.carey@sunnydalehs.edu,99000.00,Performing Arts,Senior,Advanced Vocal Technique Coach,Sunnydale High School
